date,LDP,week
2020-12-27,42,2052
2020-12-20,47,2051
2020-12-13,38.2,2050
2020-12-07,24.7,2050
2020-12-06,38,2049
2020-12-06,41.5,2049
2020-12-06,42,2049
2020-11-29,49,2048
2020-11-17,40,2047
2020-11-15,39,2046
2020-11-15,48.2,2046
2020-11-09,25.7,2046
2020-11-08,40.4,2045
2020-11-08,36.8,2045
2020-11-08,48,2045
2020-10-25,45,2043
2020-10-18,39,2042
2020-10-18,49.4,2042
2020-10-18,42,2042
2020-10-12,26.4,2042
2020-10-11,37,2041
2020-10-04,40.7,2040
2020-09-22,40.8,2039
2020-09-20,47,2038
2020-09-20,53.9,2038
2020-09-17,52,2038
2020-09-17,41,2038
2020-09-06,43.2,2036
2020-09-03,40,2036
2020-08-23,42.8,2034
2020-08-02,32,2031
2020-07-19,40.3,2029
2020-07-19,30,2029
2020-07-19,35,2029
2020-07-19,31.9,2029
2020-07-19,29,2029
2020-07-13,26,2029
2020-07-12,29.3,2028
2020-07-05,35.8,2027
2020-07-05,32,2027
2020-06-22,33.9,2026
2020-06-21,43,2025
2020-06-21,37.3,2025
2020-06-21,29,2025
2020-06-20,31,2025
2020-06-14,29.2,2024
2020-06-07,34.4,2023
2020-06-07,30,2023
2020-06-07,34,2023
2020-01-21,30.9,2004
2020-05-31,37.4,2022
2020-05-24,26,2021
2020-05-24,25,2021
2020-05-17,28.8,2020
2020-05-17,35.5,2020
2020-05-10,35.9,2019
2020-05-10,34,2019
2020-05-10,35.1,2019
2020-05-10,34,2019
2020-04-19,33,2016
2020-04-19,29,2016
2020-04-13,33.1,2016
2020-04-13,37,2016
2020-04-12,29.2,2015
2020-04-12,34,2015
2020-04-12,33.3,2015
2020-04-09,34,2015
2020-04-05,34.3,2014
2020-03-29,37,2013
2020-03-28,37,2013
2020-03-22,43.5,2012
2020-03-22,35,2012
2020-03-16,40,2012
2020-03-15,36,2011
2020-03-15,33,2011
2020-03-09,24,2011
2020-03-08,36.4,2010
2020-03-08,36.5,2010
2020-01-29,32,2005
2020-01-29,31.6,2005
2020-02-23,39,2008
2020-02-16,32.1,2007
2020-02-16,34,2007
2020-02-16,45.4,2007
2020-02-16,40.5,2007
2020-02-15,40,2007
2020-02-09,37.4,2006
2020-02-09,24.3,2006
2020-02-02,38.2,2005
2020-01-26,34,2004
2020-01-26,45,2004
2020-01-19,45,2003
2020-01-19,34,2003
2020-01-19,41,2003
2020-01-13,40,2003
2020-01-13,24.9,2003
2020-01-12,29.7,2002
2020-01-12,38.6,2002
2020-01-12,43.2,2002
2021-10-24,32.2,2142
2021-10-24,38.6,2142
2021-10-20,41,2142
2021-10-20,34,2142
2021-10-17,49.1,2141
2021-10-17,31.6,2141
2021-10-17,49.9,2141
2021-10-17,38.8,2141
2021-10-15,40,2141
2021-10-10,42.92,2140
2021-10-10,45.3,2140
2021-10-10,41.5,2140
2021-10-10,41.2,2140
2021-10-05,37,2140
2021-10-05,43,2140
2021-10-05,51,2140
2021-09-25,47,2138
2021-09-19,49.4,2137
2021-09-19,43.5,2137
2021-09-18,37,2137
2021-09-13,26.5,2137
2021-09-12,37,2136
2021-09-12,37.6,2136
2021-09-11,48,2136
2021-09-05,36,2135
2021-08-28,26,2134
2021-08-22,35.6,2133
2021-08-22,46.6,2133
2021-08-15,29.1,2132
2021-08-09,32,2132
2021-08-09,33.4,2132
2021-08-09,23.7,2132
2021-08-08,32,2131
2021-08-08,32.4,2131
2021-07-25,38,2129
2021-07-18,42.3,2128
2021-07-18,36.3,2128
2021-07-17,28,2128
2021-07-12,21.4,2128
2021-07-11,28.6,2127
2021-07-11,36,2127
2021-07-11,34.9,2127
2021-07-04,33.6,2126
2021-06-27,43,2125
2021-06-20,41.8,2124
2021-06-20,37,2124
2021-06-20,31,2124
2021-06-19,30,2124
2021-06-14,22.8,2124
2021-06-13,25.4,2123
2021-06-13,35.8,2123
2021-06-06,34.3,2122
2021-06-06,33,2122
2021-05-30,42,2121
2021-05-16,26.2,2119
2021-05-16,35.3,2119
2021-05-16,44.9,2119
2021-05-16,30,2119
2021-05-16,41.9,2119
2021-05-09,37.2,2118
2021-05-10,21.4,2119
2021-05-09,37,2118
2021-05-09,33.7,2118
2021-04-25,47,2116
2021-04-18,31,2115
2021-04-18,39.2,2115
2021-04-18,45.1,2115
2021-04-12,22.5,2115
2021-12-03,38,2148
2021-04-11,35,2114
2021-04-11,37.4,2114
2021-04-04,35.6,2113
2021-04-04,39,2113
2021-03-28,43,2112
2021-03-21,33,2111
2021-03-21,43.7,2111
2021-03-14,40.1,2110
2021-03-07,38.3,2109
2021-03-08,23,2110
2021-03-07,35.6,2109
2021-03-07,40,2109
2021-02-28,45,2108
2021-02-21,38.6,2107
2021-02-14,33,2106
2021-02-14,45.2,2106
2021-02-07,36.7,2105
2021-02-07,35.1,2105
2021-02-07,37,2105
2021-02-07,25.5,2105
2021-01-31,44,2104
2021-01-24,39.1,2103
2021-01-17,45.7,2102
2021-01-17,37,2102
2021-01-11,37.8,2102
2021-01-11,23.7,2102
2021-01-10,34.2,2101
2021-01-10,41.2,2101
